rating	effectiveness	benefitsreview
9	considerably effective	the antibiotic may have destroyed bacteria causing my sinus infection.  but it may also have been caused by a virus, so its hard to say.
9	highly effective	lamictal stabilized my serious mood swings. one minute i was clawing up the walls in pure mania, the next curled up in a fetal position on my bed contemplating suicide  i am no longer at the whim of my moods and neither are those around me. im lucky that i started pharmaceuticals almost immediately after i was diagnosed a bipolar. lamictal gives me amazing clarity to go about my day, honestly assess myself and form real relationships. lifted a fog, i guess you could call it. now that im medicated i realize how cloudy my thought processes used to be. it's a wonderful feeling.interestingly, i hardly dreamt before beginning lamictal. i would dream (i mean dream in the sense of being able to imagine pictures and scenes while asleep, not rem) maybe once every two months. now i dream every night. i found that the closer i take it to bedtime the more frequent and more intense my dreams.
4	moderately effective	initial benefits were comparable to the brand name version of this drug, depakote.  i had been taking depakote for several months and experienced great results.  when i went to my psychiatrist for an evaluation and re-fill, he accidently prescribed the generic version,   when i discovered the error, i was told by this doctor that i would experience the same results as depakote.  the positive side effects of the depakene: balanced mood, improved concentration, improved logical cognition, mental clarity, lessened anxiety and irritability, improved sleep, increase in pleasure about activities
10	highly effective	it controls my mood swings. it helps me think before i act or speak. it controls anxiety  it freed me to live my life happily!!! i cared about my life more. everything had more meaning to me. i lived a very dull life before taking prozac.
10	highly effective	within one week of treatment superficial acne lesions were visibly reduced.  sebum production which had been excessive before beginning was significantly reduced (after course of treatment level increased to a more normal level).  after one month of treatment no new acne lesions occured.  by the end of treatment no new acne developed, and old lesions had healed.
2	marginally effective	by the end of the 10-day treatment i felt better, but still had major congestion, green/yellow mucus and was coughing up mucus.  the symptoms were milder than before i started the treatment but definitely not gone.
8	considerably effective	reduction in seizures reduction in seizures reduction in seizures didnt have lots of seizures how many times can i say the same thing im sorry but there's not a whole lot to say here i keep repeating the same stuff over and over again to get to fifty words.
10	highly effective	ive been taking tramadol for 2 weeks now. ive been taking vicodin and for 7 months due to cervical disk degeneration and lower back pain. i have to admit i loved taking vicodin and  the problem is that they would knock me out. tramadol has been awesome. it takes 90% of the pain away and i feel like i actually have energy again. from reading previous comments it sounds like i take a lower dose. im really happy about that cause if i get use to it then i can up my dose and not feel worried about it.
10	highly effective	"i immediately stopped having panic attacks.  it really was miraculous, as they were becoming more and more frequent and severe.  on the combination of klonopin and prozac, i have not experienced a panic attack in 10 years. i simply feel ""normal"", and am able to go through my days without any feelings of extreme nausea or dizziness, which is how my panic attacks manifested themselves.  no longer did i have to leave work early, avoid restaurants and supermarkets, or worry about getting suddenly ""sick"", for no reason."
1	marginally effective	the presumed benefits were to help with a severe depression. in the beginning there was some benefit, ie less suicidal, apathetic, morbid, depressed. but the effects were short lived and dose had to be continually increased. the biggest benefit was probably placebo - feeling like i was getting help, hopeful and trusting in the treatment and doctors.
3	moderately effective	some pain relief recieved minimized pain when touched
9	highly effective	significantly diminished the symptoms and size of the cold sore.  often, it would halt the development and the redness and swelling would disappear after a day or two, without the sore blistering/weeping/scabbing.  for my body, valtrex has proven to be far more effective than either famvir, or    it is surprising how many people either do not treat cold sores, or are not aware of any new treatments after zovirax.
6	moderately effective	treatment benefits were noticeable but not substantial. i did not respond to a day as i or the doctor had hoped. but it did allow me to stay focused throughout the day with out drowsiness or fatigue, so i give it a positive review. treatment effectiveness varies among individuals
10	highly effective	very quick migraine relief with no nausea or drowsiness. other medications (such as imitrex and  had little to no effect, or took a minimum of 1 to 2 hours for relief to begin. i really like the dissolving tablet, as i can take it anytime without having to find a water fountain or other beverage. relief is very quick, generally within 20 to 30 minutes.
5	moderately effective	the xanax would act as a downer. it would calm me temporarily but could throw me into depression depending on the situation. if the situation was mildly traumatic the xanax would calm me but then follow by depression. the following day i would have residual sedation. the main complain was the addiction. it was not exactly like a craving but if you did not take it your body would feel like something was missing. it did not hurt but until i took it again i felt not quite content and as soon as i would take the pill my body would feel like it would give a sigh of relief. i think it is as much addiction to the mind as to the body.
5	moderately effective	the benefits were to eventually stop smoking.
7	moderately effective	to reduce acid production and stop acid reflux, the tablets are easy to swallow and moderately effective, their effectivity is diminished if reflux is already occuring.
7	considerably effective	stopped inflammation. reduced need for pain killers such as tylenol and advil.
8	highly effective	reduction of infection of acute uncomplicated diverticulitis
10	highly effective	this medicine stopped post nasal drip, itching throat, eyes, and nose.
3	considerably effective	the treatment masked the psoriasis and what was considered arthritis
9	considerably effective	helped build bone loss. osteoporosis runs in my family. we are thin. two of my sisters were diagnosed with osteoporosis in their early 40s. one sister fractured her pelvic bone at 40 from bone loss.
